MIN=0	0	0	0	0
MAX=600	4641.58883361278	511	511	2000
SCALE=600	5	100	500	500
DEC=0	0	0	1	0
DEF="Time" t / s	"Events" N_A	"Channel" n_A	"Energy" E_A / keV	"Voltage" U_A / V
0	0	0	0	795.0546875
1	1	1	1	792.7265625
2	275	2	2	791.950520833333
3	554	3	3	805.919270833333
4	654	4	4	794.666666666667
5	781	5	5	795.830729166667
6	793	6	6	795.830729166667
7	870	7	7	796.606770833333
8	953	8	8	796.606770833333
8.999	991	9	9	797.770833333333
10	1201	10	10	798.546875
11	1178	11	11	798.934895833333
12	1176	12	12	795.0546875
13	1193	13	13	796.606770833333
14	1206	14	14	802.0390625
15	1270	15	15	796.994791666667
16	1305	16	16	798.158854166667
17	1351	17	17	796.21875
17.999	1400	18	18	796.994791666667
19	1477	19	19	794.666666666667
20	1360	20	20	796.994791666667
21	1539	21	21	801.263020833333
22	1693	22	22	794.278645833333
23	1772	23	23	805.53125
24	2190	24	24	796.21875
25	2396	25	25	795.0546875
26	2757	26	26	795.830729166667
27	3128	27	27	798.158854166667
28	3551	28	28	798.158854166667
29	3720	29	29	800.875
30	3612	30	30	801.263020833333
31	3334	31	31	798.158854166667
32	2797	32	32	800.098958333333
33	2498	33	33	801.651041666667
34	2323	34	34	800.098958333333
35	1922	35	35	796.994791666667
36	1764	36	36	798.546875
37	1616	37	37	799.7109375
38	1601	38	38	797.770833333333
39	1600	39	39	795.830729166667
40	1567	40	40	794.666666666667
41	1620	41	41	800.486979166667
42	1645	42	42	798.158854166667
43	1708	43	43	795.442708333333
44	1712	44	44	800.486979166667
45	1734	45	45	794.666666666667
46	1797	46	46	796.606770833333
46.999	1712	47	47	800.098958333333
48	1746	48	48	800.098958333333
49	1842	49	49	792.7265625
49.999	1846	50	50	797.770833333333
51	1824	51	51	793.502604166667
52	1801	52	52	794.666666666667
53	1791	53	53	791.174479166667
54	1809	54	54	798.158854166667
55	1763	55	55	800.098958333333
56	1798	56	56	792.338541666667
57	1818	57	57	793.114583333333
57.999	1912	58	58	797.3828125
59	1922	59	59	798.158854166667
60	1966	60	60	800.875
61	1995	61	61	793.502604166667
62	2023	62	62	792.338541666667
63	2319	63	63	795.442708333333
64	2285	64	64	797.770833333333
65	2413	65	65	790.786458333333
66	2477	66	66	795.0546875
67	2518	67	67	795.830729166667
68	2560	68	68	800.875
68.999	2561	69	69	796.21875
69.999	2537	70	70	794.278645833333
71	2591	71	71	795.830729166667
72	2451	72	72	792.338541666667
72.999	2399	73	73	791.5625
73.999	2365	74	74	800.486979166667
75	2388	75	75	795.442708333333
76	2365	76	76	793.890625
77	2284	77	77	798.546875
78	2226	78	78	799.322916666667
78.999	2235	79	79	796.606770833333
80	2227	80	80	792.7265625
80.999	2162	81	81	800.098958333333
82	2130	82	82	790.3984375
83	2037	83	83	794.278645833333
84	2038	84	84	800.098958333333
84.999	1991	85	85	798.546875
86	1934	86	86	799.7109375
87	1901	87	87	803.591145833333
88	1902	88	88	797.3828125
89	1812	89	89	793.890625
90	1816	90	90	800.486979166667
91	1772	91	91	798.546875
92	1784	92	92	796.994791666667
93	1734	93	93	798.934895833333
94	1821	94	94	798.934895833333
94.999	1679	95	95	803.979166666667
96	1780	96	96	793.890625
97	1727	97	97	802.815104166667
98	1719	98	98	796.21875
99	1753	99	99	798.934895833333
100	1679	100	100	802.815104166667
101	1582	101	101	795.0546875
102	1649	102	102	793.890625
103	1684	103	103	791.5625
104.001	1589	104	104	794.666666666667
105	1646	105	105	791.950520833333
106	1572	106	106	794.278645833333
107	1571	107	107	796.606770833333
108	1494	108	108	791.5625
109	1456	109	109	793.114583333333
110	1510	110	110	792.338541666667
111	1507	111	111	794.666666666667
112	1461	112	112	791.950520833333
113	1446	113	113	796.994791666667
114	1403	114	114	791.950520833333
115	1435	115	115	790.786458333333
116.001	1347	116	116	801.263020833333
116.999	1321	117	117	793.114583333333
117.999	1342	118	118	795.0546875
119	1319	119	119	803.591145833333
120	1333	120	120	801.651041666667
121	1264	121	121	796.21875
121.999	1286	122	122	802.815104166667
123	1293	123	123	799.322916666667
124	1274	124	124	799.7109375
125	1266	125	125	797.3828125
126	1249	126	126	793.502604166667
127	1268	127	127	796.21875
128	1256	128	128	800.098958333333
129	1242	129	129	791.174479166667
130	1240	130	130	794.666666666667
131	1306	131	131	793.502604166667
132	1286	132	132	797.770833333333
133	1248	133	133	798.934895833333
134	1278	134	134	801.263020833333
135	1323	135	135	790.3984375
136	1229	136	136	793.114583333333
136.999	1222	137	137	799.322916666667
138	1235	138	138	791.5625
139	1262	139	139	802.0390625
140	1207	140	140	792.7265625
141	1221	141	141	800.875
142	1236	142	142	796.606770833333
142.999	1234	143	143	803.979166666667
143.999	1232	144	144	798.546875
145	1229	145	145	791.950520833333
145.999	1142	146	146	793.502604166667
147	1104	147	147	796.606770833333
148	1121	148	148	795.830729166667
149	1064	149	149	800.098958333333
150	1048	150	150	791.174479166667
151	976	151	151	791.5625
152	990	152	152	790.786458333333
153	959	153	153	789.622395833333
154	934	154	154	792.338541666667
155	815	155	155	795.830729166667
156	803	156	156	796.994791666667
157	758	157	157	791.174479166667
158	726	158	158	793.502604166667
159	659	159	159	802.815104166667
160	646	160	160	801.263020833333
161	596	161	161	797.3828125
161.999	594	162	162	803.979166666667
163	480	163	163	803.203125
164	503	164	164	793.890625
165	447	165	165	796.21875
165.999	452	166	166	802.0390625
167	450	167	167	795.0546875
168	426	168	168	798.158854166667
169	350	169	169	796.606770833333
170	369	170	170	796.21875
171	331	171	171	796.994791666667
